Name	Set	ImageFile	Cost_Influence	Type	SubType	Diplomacy	Intrigue	Psi	Leadership	Military	Marks	Rarity	Fixeds	Collector	Text
A Crusade... (for profit)	Crusade	08-005	  	Enhancement	Faction	  	  	  	  	  		Common		08-005 C2	...for profit. Irrevocable. Cannot be targeted. Play this card at the same time as your starting ambassador; it is not considered to be a card in your starting hand. Take any number of Corporate (boldface) cards from your deck and place them, in random order, under this card as your Crusade Pile. After using this effect, you must have at least 20 cards in the Crusade Pile and at least 70 left in your deck. Rotate this enhancement to take the topmost card from your Crusade Pile into your hand.
A Dying People	Crusade	08-006		Event		  	  	  	  	  		Common		08-006 C2	As your first or second action, target an Intrigue Conflict initiated by a Centauri player or a Military Conflict initiated by a Narn player. The target conflict is canceled. You may not target a conflict initiated by a player who has 3 or more Vorlon Marks. This event is Irrevocable if the target's initiator has any Doom Marks or Shadow Marks.
A Good Lead	Crusade	08-007	  	Aftermath	Won	  	  	  	  	  		Common		08-007 C2	Target one of your Crusade, Explorer, or Legacy participant characters who supported your Crusade, Explorer, or Legacy conflict. As an action, discard this aftermath to draw 2 cards from your deck or Crusade Pile.
A Warning	Crusade	08-008	  	Event		  	  	  	  	  		Rare 2		08-008 R2	Legacy. Each player may only play this event once per turn. For each Techno-mage character and fleet you control, apply +3 opposition to a conflict targeting you, or +3 support for a Crusade or Legacy conflict you initiated.
Above it All	Crusade	08-009	  	Event		  	  	  	  	  		Rare 2		08-009 R2	Apply any amount of influence, and for each influence you apply target one of your characters who is supporting you in a conflict in which any player may be supported. At resolution of that conflict, each of those characters applies +3 additional support.
Accommodations	Crusade	08-010	3	Event		  	  	  	  	  		Common		08-010 C2	Play this event as your first action. Target an opposable conflict initiated by another player. If, at resolution, you provide more support to the conflict than any other player, at resolution you may draw a number of cards equal to three times the influence gained from the conflict by the initiator, and the initiator cannot draw any cards during the Draw Round this turn.
Age of Conquest	Crusade	08-011	  	Contingency	Agenda	  	  	  	  	  		Rare 2		08-011 R2	May not target Imperialism. Reveal when you conquer a location from another player to gain +2 influence and draw 3 cards.
Agents Durkani & Lyssa	Crusade	08-012	7	Character	Neutral	  	3	  	  	  		Rare 2		08-012 R2	Explorer. This character has +1 Intrigue for every 2 Conspiracy Marks in the game.  Damage to this character does not reduce its abilities.
Ain't I a Stinker?	Crusade	08-013	3	Event		  	  	  	  	  		Rare 1		08-013 R1	Target a player. Cannot be reversed. Rotate all non-character, non-fleet cards he controls for no effect.  The target cannot sponsor, replace, or discard his agenda for the rest of this turn.  The target draws no free cards during the draw round this turn. Discard all copies of Egyptian God of Frustration targeting any of the target's cards.
Alien Takeover	Crusade	08-014	  	Conflict	Leadership	  	  	  	  	  		Uncommon		08-014 U2	Unique. Explorer. You must have 10 influence to initiate this conflict. Target another faction. Intrigue may be used in this conflict. If successful by 10 or more, this card becomes an Aftermath on the target with the following text: Your characters cannot be promoted. Rotate this Aftermath to initiate a Leadership Conflict targeting another player in which Intrigue may be used. If successful, transfer this aftermath to that faction.
All In the Cards	Crusade	08-015	5	Event		  	  	  	  	  		Rare 2		08-015 R2	This card cannot be in your starting hand. You cannot play this event if you have an agenda in play with the word transfer in its effect text. If your influence rating is less than 10, gain as much influence as you need to raise it to 10, ready all cards you control, and draw one card for each point of influence you gained from this event.
Alliance Superfleet	Crusade	08-016	12	Fleet	Babylon 5	  	  	  	  	7		Rare 2		08-016 R2	ISA. Multiple. Any ISA member may sponsor this fleet at normal cost if at least 3 other Babylon 5 fleets are in play. Alliance Superfleet has +3 Military for each ISA member (including you). Discard this fleet if Babylon 5 influence is lower than 6 or if you are not an ISA member. You may initiate Military Conflicts in violation of the Interstellar Alliance card's restrictions, but Babylon 5 loses 1 influence each time you do so.
Alwyn	Crusade	08-017	8	Character	Neutral	3	3	  	  	  		Uncommon		08-017 U2	Techno-mage. Legacy. Immediately demote Alwyn if your Unrest is higher than 1. As an action, rotate Alwyn to apply damage to a fleet equal to any of Alwyn's abilities; Alwyn takes damage in return equal to the fleet's Military.
Ancient Data Crystal	Crusade	08-018	  	Aftermath	Participant	  	  	  	  	  		Rare 2		08-018 R2	Explorer. Play after participating in a Crusade, Explorer, or Legacy conflict with a Corporate, Crusade, Explorer, or Legacy character. Select up to two Enhancement cards in your discard pile and place them in your hand. (Discard this aftermath after play.)
Andre Sabbat	Crusade	08-019	7	Character	Neutral	2	2	  	  	  	Strife	Uncommon		08-019 U2	Andre Sabbat cannot be attacked by characters with Doom Marks. When Andre Sabbat attacks a character who has a Doom Mark, Andre Sabbat takes no damage.
Apocalypse Box	Crusade	08-020	4	Enhancement	Character	  	  	  	  	  	Doom	Uncommon		08-020 U2	Irrevocable. Limited. Target one of your characters. He gains a Doom Mark. During the ready round, rotate to reveal the top 5 cards in your deck. The target gains a number of Destiny, Doom, Conspiracy, and Strife Marks equal to those pictured on the revealed cards, but during the Draw Round he must purge the same number of Destiny, Conspiracy, and Strife Marks as he gained (or as many as possible of that type if he does not have enough). Return the revealed cards to the top of your deck in any order.
Apriori Flentak & Nix	Crusade	08-021	  	Character	Neutral	6	4	  	2	  		Rare 2		08-021 R2	Unique. Explorer. If you have at least 10 influence, you may play this character directly from your hand immediately after winning an Explorer conflict (as if he was an aftermath). This character has +1 damage resistance for each Marata Fleet you control.
Archaeologist D. Taylor	Crusade	08-022	5	Character	Neutral	2	1	  	1	  		Uncommon		08-022 U2	Corporate. This character may act as an Ambassador's Assistant for your ambassador if your ambassador is Corporate. This character gains +2 to all abilities while participating in an Explorer conflict.
Arsenal of Yesterdays	Crusade	08-023	1	Enhancement	Faction	  	  	  	  	  		Common		08-023 C2	Explorer. As an action, rotate this card to sponsor a Character Enhancement onto one of your characters (as if this card were an Inner Circle character). You may sponsor Character Enhancements on your characters at -1 cost, -4 cost if the target of the enhancement is Corporate or Explorer.
Automated Fleet	Crusade	08-024	  	Fleet	Neutral	  	  	  	  	5		Uncommon		08-024 U2	Unique. Crusade. If you have at least 10 influence, you may play this fleet directly from your hand immediately after winning a Crusade conflict (as if it was an aftermath). While this fleet is supporting a Crusade conflict you may cause it to add an additional 15 support at resolution, but you must then discard it at the end of the turn and all races' tensions toward you increase by 2.
Bio-Adaptive Shielding	Crusade	08-025	12	Enhancement	Fleet	  	  	  	  	  		Common		08-025 C2	Target a fleet you control. You may target Excalibur or Victory for -12 cost. Cannot become a faction enhancement. The target gains +2 damage resistance for every 5 points of its printed Military.  Remove 2 points of damage from the target at the start of each ready round. As an action, discard this enhancement to remove all damage from the target.
Blaylock	Crusade	08-026	9	Character	Neutral	3	3	  	1	  		Rare 2		08-026 R2	Techno-mage. Legacy. Once per turn, immediately after a Techno-mage character you control rotates to perform an action other than participating in a conflict, you may immediately ready that character.
Bruder	Crusade	08-027	8	Character	Human	3	  	10	  	  		Uncommon		08-027 U2	Psi Corps Character. Psi Cop. When Bruder attacks and neutralizes a neutral teep, that teep is immediately removed from the game.
Captain Daniels	Crusade	08-028	5	Character	Human	1	  	  	3	  		Uncommon		08-028 U2	You may apply +1 automatic opposition for each location you control to any conflict targeting you, or +2 automatic opposition for each location you control to a Military Conflict targeting you.
Captain Lochley (at desk)	Crusade	08-029	11	Character	Human	5	3	  	4	  	Destiny	Rare 1		08-029 R1	Crusade. Must replace your Elizabeth Lochley, transferring all attached cards and marks.  Babylon 5 has +1 influence while Captain Lochley is in play. As an action, rotate to apply support to a Crusade conflict equal to Babylon 5's influence. At resolution of any conflict targeting one of your characters, you may apply additional opposition to the conflict equal to Babylon 5's influence.
Captain Lochley (close-up)	Crusade	08-030	11	Character	Human	5	3	  	4	  	Destiny	Rare 1		08-030 R1	Crusade. Must replace your Elizabeth Lochley, transferring all attached cards and marks.  Babylon 5 has +1 influence while Captain Lochley is in play. As an action, rotate to apply support to a Crusade conflict equal to Babylon 5's influence. At resolution of any conflict targeting one of your characters, you may apply additional opposition to the conflict equal to Babylon 5's influence.
Collaboration	Crusade	08-031	  	Conflict	Diplomacy	  	  	  	  	  		Rare 2		08-031 R2	Crusade. Legacy. Target another player.  If successful, the target gains +1 power, you gain +1 influence, and all other players lose 1 power.
Collar Gun	Crusade	08-032	  	Aftermath	Participant	  	  	  	  	  		Uncommon		08-032 U2	Corporate. Explorer. Target a non-ambassador character who was neutralized by one of your Corporate, Crusade, or Explorer characters during the conflict. The target of this aftermath cannot attack any card controlled by the player who played this aftermath, or participate in conflicts initiated by that player without that player's permission.
Corporations Go On	Crusade	08-033	3	Enhancement	Faction	  	  	  	  	  		Uncommon		08-033 U2	Corporate. Target your faction. You cannot play Defense in Depth. Discard this card if Defense in Depth is your agenda. If you control more locations than any other player, no conflicts may target your faction or your race, although cards you control may still be targeted by conflicts.
Death Incarnate	Crusade	08-034	3	Enhancement	Character	  	  	  	  	  		Common		08-034 C2	If you have less than 10 influence when you sponsor this card, gain +1 influence when you sponsor it. Target any version of Ivanova, Vir, Na'Toth, or Lennier. Only the target's controller may target him/her with events. As an action, rotate this enhancement and apply influence equal to the printed cost of the target to search your deck for a character that could replace the target and take it into your hand; no player may target you with Doomed Expedition as his next action.
Death of Culture	Crusade	08-035	  	Aftermath	Won	  	  	  	  	  		Uncommon		08-035 U2	Target a player who gained power or influence from a conflict he initiated which had a restriction on which races or factions could participate. This aftermath raises the minimum Unrest for factions of the target's race by +1 and raises the cost by +2 for players of the target's race to sponsor characters of that race who have printed Diplomacy. The target may (permanently) blank this card's text by discarding 15 cards from his hand.
Death of a Planet	Crusade	08-036	  	Conflict	Intrigue	  	  	  	  	  	Doom	Rare 2		08-036 R2	Legacy. You must control a Techno-mage to initiate this conflict. Your ambassador gains a Doom Mark. Target a location controlled by another player. At resolution, this conflict gains additional opposition equal to the target's printed Military. All non-Techno-mages take 3 points of damage when they become participants in this conflict (before attacks are resolved). If successful, gain +1 power and the location is removed from the game.
Detailed Data Analysis	Crusade	08-037	  	Conflict	Diplomacy	  	  	  	  	  		Common		08-037 C2	Crusade. Intrigue may be used to oppose this conflict. Babylon 5 fleets and Excalibur may support this conflict using Military. If successful, this conflict becomes an enhancement on your agenda. This enhancement grants you +1 power.
Dire Consequences	Crusade	08-038	  	Contingency	Character	  	  	  	  	  		Rare 2		08-038 R2	Legacy. Target a Techno-mage you control. Reveal at the resolution of a lost conflict which was initiated by another player and targeted you. You must have provided more opposition to the conflict than any other player. You gain +1 Influence and the conflict's initiator loses 1 influence.
Dr. Sarah Chambers (brown smock)	Crusade	08-039	5	Character	Human	3	1	  	  	  		Rare 1		08-039 R1	Crusade. Any ISA Member may sponsor Dr. Sarah Chambers at normal cost. As an action, rotate Dr. Sarah Chambers and target a conflict. When your participants in that conflict are attacked, they take 1 less damage. Or rotate Dr. Sarah Chambers as an action to remove all damage or 1 severe damage from a character, or to unneutralize a neutralized character who has no severe damage tokens.
Dr. Sarah Chambers (purple smock)	Crusade	08-040	5	Character	Human	3	1	  	  	  		Rare 1		08-040 R1	Crusade. Any ISA Member may sponsor Dr. Sarah Chambers at normal cost. As an action, rotate Dr. Sarah Chambers and target a conflict. When your participants in that conflict are attacked, they take 1 less damage. Or rotate Dr. Sarah Chambers as an action to remove all damage or 1 severe damage from a character, or to unneutralize a neutralized character who has no severe damage tokens.
Duel to the Death	Crusade	08-041	  	Event		  	  	  	  	  		Common		08-041 C2	Target a War Conflict you initiated. At resolution, only count support and opposition from participants if they are controlled by you or by the target of the conflict. If the conflict is successful and there is no opposition at resolution from participant fleets, treat the conflict as if it was uncontested. If the conflict is successful by 10 or more, you may apply 3 influence to return this card to your hand.
Dureena Nafeel (peering)	Crusade	08-042	8	Character	Neutral	2	6	  	  	  	Strife	Rare 1		08-042 R1	Crusade. Legacy. Cannot be blanked. As an action, rotate and target another player whose discard pile contains a copy of Hidden Treasury, Short Term Goals, or Trade Windfall. Remove that copy of the card from the game; the target loses 3 influence. While Dureena Nafeel is in play, any player may, as an action, apply 10 influence or discard Dureena Nafeel from his hand to gain control of her for the rest of the turn.
Dureena Nafeel (standing)	Crusade	08-043	8	Character	Neutral	2	6	  	  	  	Strife	Rare 1		08-043 R1	Crusade. Legacy. Cannot be blanked. As an action, rotate and target another player whose discard pile contains a copy of Hidden Treasury, Short Term Goals, or Trade Windfall. Remove that copy of the card from the game; the target loses 3 influence. While Dureena Nafeel is in play, any player may, as an action, apply 10 influence or discard Dureena Nafeel from his hand to gain control of her for the rest of the turn.
EVA Salvaging	Crusade	08-044	  	Aftermath	Won Military	  	  	  	  	  		Uncommon		08-044 U2	For each character controlled by another player that was neutralized during your conflict, you may take a character from your discard pile and place it in your hand. For each fleet controlled by another player that was neutralized during your conflict, you may take a fleet from your discard pile and place it in your hand. (Discard this aftermath after play.)
Electron Incantation	Crusade	08-045	  	Aftermath	Participant	  	  	  	  	  		Uncommon		08-045 U2	Limited. Legacy. Rotate a Techno-mage to play this aftermath. Target a participant with a printed cost in a conflict which gave the participant's controller influence. The target cannot ready or be readied. As an action, the target's controller may return this aftermath to its owner's hand by applying influence equal to half the target's printed cost (round up), or discard this aftermath by applying influence equal to 3 greater than the target's printed cost.
Elizabeth Trent	Crusade	08-046	6	Character	Neutral	3	3	  	  	  		Rare 2		08-046 R2	Corporate. At the beginning of the Draw Round, if Elizabeth Trent is not in your Inner Circle, discard a random card from your hand. Action: rotate and apply X influence to target a conflict. Target gets +X support (to a side of your choice if more than one side can be supported). [DC ERRATA]
Everything Has a Price	Crusade	08-047	  	Event		  	  	  	  	  		Rare 2		08-047 R2	Corporate. Rotate an Inner Circle Corporate character you control and target a supporting (row) Neutral Character or Neutral Fleet.  Apply influence equal to the printed cost of the target. The target is discarded. You may not target Legacy cards, Lorien, Techno-mages, Rangers, or characters with 2 or more Shadow or Vorlon marks with this event.
Excalibur	Crusade	08-048	7	Fleet	Human	  	  	  	  	5		Rare 2		08-048 R2	Crusade. Rotate when you promote a Crusade or Explorer character to reduce the cost by 4. Excalibur has +3 damage resistance during attacks involving a Drakh Fleet. Excalibur has +1 Military for each Crusade character you control. Excalibur applies +7 support at resolution if supporting a Crusade or Explorer conflict.
Exodus	Crusade	08-049	9	Fleet	Neutral	  	  	  	  	5		Rare 2		08-049 R2	Techno-mage. Legacy. Must be sponsored by a Techno-mage. A Techno-mage may lead this fleet using Diplomacy. Exodus cannot be attacked, or targeted by aftermaths, conflicts, enhancements, or events without your permission. Exodus has +1 Military for each Techno-mage character you control.
Explore Vorlon Space	Crusade	08-050	  	Conflict	Military	  	  	  	  	  		Rare 2		08-050 R2	Explorer. Any player may be supported in this conflict. At resolution, subtract 15 from each player's support for every point of Vorlon influence. Each non-Drakh player with 3 or more Shadow Marks loses 1 influence. Each player with support greater than zero gains +1 influence. Whichever player has the single most support greater than zero gains an additional +2 influence, each of his Inner Circle characters with Leadership gains a Destiny Mark, and this conflict becomes Unique.
Faces in Stone	Crusade	08-051	5	Event		  	  	  	  	  		Uncommon		08-051 U2	Unique. Legacy. Rotate your ambassador and a Techno-mage character you control. Search your deck and take the first three characters you find into your hand.  (Shuffle your deck afterwards.)
Far Reaching Schemes	Crusade	08-052	  	Conflict	Intrigue	  	  	  	  	  		Rare 2		08-052 R2	 Legacy. You must control three or more Techno-mage characters to initiate this conflict. Only Techno-mages may support this conflict. If successful, this card becomes a Faction Enhancement targeting you with the following text: As an action, discard this enhancement and target a player. That player must discard half the cards in his hand (round up).
Final Destiny	Crusade	08-053	  	Conflict		  	  	  	  	  		Uncommon		08-053 U2	Any ability may be used in this conflict, but each participant provides a maximum of 5 support or opposition at resolution. If successful, you may give your ambassador a Destiny Mark and a Vorlon Mark; or give one of your participant characters a Vorlon Mark and return this conflict to your hand.
Fireball	Crusade	08-054	  	Event		  	  	  	  	  		Common		08-054 C2	Legacy. Target a character controlled by another player. Apply any amount of influence when you play this event, up to the number of Techno-mage characters and/or fleets in your faction. Inflict one point of damage to the target for each point of influence you applied.
First Contact Protocols	Crusade	08-055	  	Conflict	Diplomacy	  	  	  	  	  		Uncommon		08-055 U2	Explorer. Each player may only initiate this conflict once per game. Target another player.  If successful, the target must transfer one influence to you, and all conflicts initiated by the target player next turn gain +10 automatic support.
Forced Down	Crusade	08-056	  	Conflict	Military	  	  	  	  	  		Rare 2		08-056 R2	Any player may be supported in this conflict. Whichever player has the single most support gains +1 influence and must, if possible, neutralize one supporting (row) character (of his choice) controlled by the player with the least support (or one controlled by each player with the least support if there is a tie).
Galen (holding fire)	Crusade	08-057	9	Character	Neutral	3	5	  	  	  	Destiny	Rare 1		08-057 R1	Techno-mage. Crusade. Legacy. Once per turn, as an action, you may place a card from your hand underneath Galen. When attacked (before the attack is resolved), or at resolution of a conflict, you may discard all of these cards to give Galen +2 to one ability of your choice for every card thus discarded. This bonus lasts for the rest of this turn.
Galen (hood and staff)	Crusade	08-058	9	Character	Neutral	3	5	  	  	  	Destiny	Rare 1		08-058 R1	Techno-mage. Crusade. Legacy. Once per turn, as an action, you may place a card from your hand underneath Galen. When attacked (before the attack is resolved), or at resolution of a conflict, you may discard all of these cards to give Galen +2 to one ability of your choice for every card thus discarded. This bonus lasts for the rest of this turn.
Galen's Crystal Ball	Crusade	08-059	2	Enhancement	Character	  	  	  	  	  		Uncommon		08-059 U2	Limited. Legacy. Target a Techno-mage. As an action, rotate this enhancement to place the bottom card in your discard pile on the bottom of your deck.
Galen's Magic Rock	Crusade	08-060	  	Aftermath	Participant	  	  	  	  	  		Rare 2		08-060 R2	Legacy. Target a participant Techno-mage character you control. When it is your turn to declare a conflict during the conflict round, you may discard this card to search your deck or Crusade Pile for a conflict you could initiate and take it into your hand. You may then initiate it as normal with +10 automatic support.
Galen's Ship	Crusade	08-061	4	Fleet	Neutral	  	  	  	  	2		Rare 2		08-061 R2	Techno-mage. Crusade. Legacy. Must be sponsored by a Techno-mage. Galen may sponsor this card for zero cost and may lead it using Diplomacy. Cannot be attacked or targeted by events without your permission. The first time this card is sponsored by the player who controls Galen, Galen gains one mark of your choice.
Galen's Staff	Crusade	08-062	5	Enhancement	Character	  	  	  	  	  	Strife	Common		08-062 C2	Legacy. Target a Techno-mage character you control. The target gains a Strife Mark. The target may participate in Psi conflicts using Intrigue. As an action, remove this card from the game and neutralize its target to discard an aftermath or enhancement targeting you that required marks to play.
General Ivanova	Crusade	08-063	12	Character	Human	5	5	  	5	  	Destiny, Strife	Rare 2		08-063 R2	Must replace Captain Ivanova; transfer all attached cards and marks. Whenever you win a war conflict, or when a conflict initiated by another player that targets you is lost, gain +1 influence and reduce your Unrest by 1.  This character cannot be attacked by Humans, Drakh, or Rangers. As an action, rotate to search your deck until you find the first Human or Babylon 5 Fleet you could sponsor; you may then apply influence equal to its printed cost to put it into play.
Genius Loci	Crusade	08-064	7	Character	Neutral	1	4	  	  	  		Rare 2		08-064 R2	Techno-mage. Legacy. While Genius Loci is unneutralized and participating in a conflict, all other characters and fleets immediately take 1 point of damage when they rotate to participate in that conflict (before attacks resolve). If Genius Loci is discarded from play, he is removed from the game instead.
Ghost Ship	Crusade	08-065	  	Conflict	Intrigue	  	  	  	  	  		Common		08-065 C2	Explorer. Target another player. Psi may be used to oppose this conflict. If successful, you may neutralize a character and/or a fleet of your choice controlled by the target. If you succeed by 10 or more, gain +1 power.
Goods and Services	Crusade	08-066	  	Event		  	  	  	  	  		Common		08-066 C2	Restore any amount of influence, up to an amount equal to Babylon 5's current influence. You may only use this restored influence to pay for the cost of promoting characters into your Inner Circle, or for repairing fleet damage.
High-Tech Weapons	Crusade	08-067	  	Conflict	Leadership	  	  	  	  	  		Common		08-067 C2	Target a fleet you control. If successful, search your deck for the first Fleet Enhancement you find and take it into your hand, and this card becomes a Fleet Enhancement on the target which gives the target +3 Military.
Holo-Demons	Crusade	08-068	4	Event		  	  	  	  	  		Rare 2		08-068 R2	Legacy. Rotate a Techno-mage character you control and target a Crusade or Legacy conflict you initiated. Whenever a player rotates a character or fleet to oppose that conflict, the player must also apply 2 influence or the character/fleet applies no opposition at resolution.
Holo-Dragon	Crusade	08-069	4	Event		  	  	  	  	  		Rare 2		08-069 R2	Legacy. You must rotate a Techno-mage character you control to play this card. For each Techno-mage character or fleet you control, you may rotate one character controlled by the target faction. You cannot rotate any of his Inner Circle characters unless all of his supporting characters have been rotated.
Homunculus	Crusade	08-070	  	Contingency	Character	  	  	  	  	  		Common		08-070 C2	Legacy. Target a Techno-mage you control.  Reveal when the target rotates to support a conflict. The target may not be attacked this turn and provides +3 support at resolution. If the conflict succeeds, you may shuffle this card back into your deck.
How to Succeed in Business	Crusade	08-071		Event		  	  	  	  	  		Rare 2		08-071 R2	Corporate. Discard a number of cards from your hand equal to the printed cost of a Corporate character in your hand to sponsor that character for free directly to your Inner Circle.
Hyperspace Getaway	Crusade	08-072	  	Contingency	Fleet	  	  	  	  	  		Common		08-072 C2	Crusade. Reveal when any fleet you control is attacked. The attack is canceled, although the attacking fleet remains rotated. You may ready the attacked fleet, in which case it is no longer participating in any conflicts. You may remove up to 3 points of damage from one fleet you control.
IPX Official	Crusade	08-073	7	Character	Neutral	3	2	  	  	  		Common		08-073 C2	Multiple. Corporate. During the draw round you may apply 2 influence to draw the top card from your Crusade pile. (You may only do this once per turn no matter how many copies of this character are in play.)
Illegal Raid	Crusade	08-074	  	Conflict	Intrigue	  	  	  	  	  		Uncommon		08-074 U2	Crusade. You may support this conflict with one fleet, using Military; if you do not do so, this conflict fails. If successful, search your deck for Natchok Var or a character loyal to a race other than your own and take it into your hand, and gain +1 influence unless the ISA exists and you are not a member.
Invisibility	Crusade	08-075	1	Enhancement	Character	  	  	  	  	  		Uncommon		08-075 U2	Legacy. Must be sponsored by a Techno-mage. Target a Techno-mage. The target cannot be attacked, except while participating in a Psi Conflict.
Isabelle	Crusade	08-076	7	Character	Neutral	3	2	  	  	  		Rare 2		08-076 R2	Techno-mage. Legacy. Discard Isabelle if you have any Shadow Marks. If you control at least 2 characters loyal to a race other than your own who have printed costs of 5 or higher, you may rotate Isabelle as an action to draw a card. As an action, you may discard Isabelle from play to search your deck or Crusade Pile and take Galen and/or Galen's Ship into your hand.
Isabelle's Quest	Crusade	08-077	  	Aftermath	Won	  	  	  	  	  		Rare 2		08-077 R2	Legacy. Target your faction immediately after winning the Well of Forever conflict, if you have Galen and Isabelle in your Inner Circle. As an action, rotate this aftermath and neutralize a non-Techno-mage character you control to give that character the text Techno-mage.
Jacob Redway	Crusade	08-078	8	Character	Human	5	4	  	  	  		Uncommon		08-078 U2	Earth Alliance Senator. As an action, rotate Jacob Redway and another Senator you control to target a Human Character you control, search your deck for any other version of the target, and take it into your hand.
John Matheson (blue/black uniform)	Crusade	08-079	8	Character	Human	2	2	7	2	  		Rare 1		08-079 R1	Crusade. Explorer. As an action, rotate to give a target Crusade character +2 to an ability of your choice while John Matheson remains rotated, or to remove up to 3 points of damage from the target. John Matheson applies double opposition at resolution while opposing a Psi Conflict that targets you.
John Matheson (grey/red uniform)	Crusade	08-080	8	Character	Human	2	2	7	2	  		Rare 1		08-080 R1	Crusade. Explorer. As an action, rotate to give a target Crusade character +2 to an ability of your choice while John Matheson remains rotated, or to remove up to 3 points of damage from the target. John Matheson applies double opposition at resolution while opposing a Psi Conflict that targets you.
Kevin Sprach	Crusade	08-081	4	Character	Neutral	3	  	  	  	  		Uncommon		08-081 U2	This character cannot be in your starting hand.  You must rotate all of your Inner Circle characters to sponsor Kevin Sprach, but do not have to apply influence to sponsor him. Kevin Sprach cannot enter play by any other means. All characters in your Inner Circle gain +1 Diplomacy.
Kulan	Crusade	08-082	  	Character	Neutral	3	3	  	3	  		Uncommon		08-082 U2	Crusade. If you have at least 10 influence, you may play Kulan directly from your hand immediately after winning a Crusade conflict (as if he was an aftermath). As an action, rotate to take a fleet with a printed Military of 4 or less from another player's discard pile and place it in your faction with Kulan leading it. Discard the fleet immediately if Kulan is no longer leading it.
Lemm Uh'Ekim	Crusade	08-083	8	Character	Non-Aligned	1	3	4	  	  		Common		08-083 C2	Sh'lassan Ambassador. Unique. Cannot be blanked. This character may only ready or be readied during the ready round. As an action, rotate Lemm Uh'Ekim to gain +1 power, but you lose 2 power at the end of the turn.
Leonard Anderson	Crusade	08-084	8	Character	Human	2	2	  	3	  		Uncommon		08-084 U2	Crusade. Any player who controls a Babylon 5 fleet may sponsor Leonard Anderson at normal cost. As an action, rotate Leonard Anderson and discard a fleet from your hand to search your deck for a Babylon 5 fleet and take it into your hand.
Lieutenant Carr	Crusade	08-085	8	Character	Neutral	1	3	  	  	  		Uncommon		08-085 U2	As an action, rotate Lieutenant Carr: your characters ignore Strife Mark damage this turn (your Strife Marks do not cause additional damage and your characters do not take additional damage due to Strife Marks). If you control Mars Colony you may rotate it to promote your Lieutenant Carr for free.
Lieutenant Tewart	Crusade	08-086	5	Character	Neutral	  	  	  	2	  		Common		08-086 C2	Explorer. Lieutenant Tewart becomes loyal to your race immediately after you sponsor him.  While leading a fleet, that fleet may participate in Diplomacy Conflicts using Military.
Lise Hampton Edgars Garibaldi	Crusade	08-087	9	Character	Human	6	4	  	  	  		Rare 2		08-087 R2	Corporate. Must replace Lise Hampton Edgars, transferring all attached cards and marks. All Mercenary cards in your faction lose their boldface Mercenary text. Other players may not target you with cards that require Conspiracy Marks.
Lorkans	Crusade	08-088	5	Character	Neutral	  	1	  	  	  	Strife	Common		08-088 C2	Multiple. Crusade. Rotate Lorkans as an action and target a character you control: For the rest of this turn, the target inflicts +2 damage during attacks.
M. Garibaldi, CEO	Crusade	08-089	12	Character	Neutral	5	7	  	4	  	Destiny, Strife	Rare 2		08-089 R2	Corporate. May replace any other version of Garibaldi, transferring any attached cards and marks you choose. Rotate to search your deck for Lise Hampton, or any Human Character which can replace another character, and take that card into your hand. Immediately promote (for free) M. Garibaldi, CEO if you have versions of any 3 of these characters in your Inner Circle: Ivanova, Franklin, Lise Hampton, Zack Allan, Marcus Cole. Discard this character if you control a Psi Cop or William Morgan Clark.
Main Gun	Crusade	08-090	1	Enhancement	Fleet	  	  	  	  	  		Uncommon		08-090 U2	Limited. Target Excalibur or an ISA fleet. When the target rotates to attack, you may rotate this card and reveal the top 5 cards in your deck to all players. If any of the cards is a Fleet or Fleet Enhancement, neutralize a fleet of your choice, with a Military lower than the target's printed Military, controlled by the same player who controls the fleet you are attacking. Return the revealed cards on top of your deck in the same order.
Marata Fleet	Crusade	08-091	  	Fleet	Neutral	  	  	  	  	8		Common		08-091 C2	Multiple. Explorer. If you have at least 10 influence, you may play this fleet directly from your hand immediately after winning an Explorer conflict (as if it was an aftermath). Damage to this fleet may not be removed or repaired.
Mars Conference	Crusade	08-092	  	Conflict	Diplomacy	  	  	  	  	  		Rare 1		08-092 R1	ISA. Crusade. Intrigue may be used to oppose this conflict. If successful, each ISA member may: discard one aftermath and/or one enhancement that targets his faction or a card in his faction, fully heal all of his Inner Circle characters, and/or draw the top 3 cards from his Crusade Pile.
Matthew Gideon (blue/black uniform)	Crusade	08-093	9	Character	Human	3	3	  	3	  	Destiny	Rare 1		08-093 R1	Crusade. Explorer. Legacy. If you control a Human Fleet and no Psi Corps Fleets, you may sponsor Matthew Gideon at -9 cost. If Matthew Gideon is targeted by the Apocalypse Box, you may promote him at -9 cost. If a fleet led by Matthew Gideon would be neutralized if he readies, he cannot ready.
Matthew Gideon (grey/red uniform)	Crusade	08-094	9	Character	Human	3	3	  	3	  	Destiny	Rare 1		08-094 R1	Crusade. Explorer. Legacy. If you control a Human Fleet and no Psi Corps Fleets, you may sponsor Matthew Gideon at -9 cost. If Matthew Gideon is targeted by the Apocalypse Box, you may promote him at -9 cost. If a fleet led by Matthew Gideon would be neutralized if he readies, he cannot ready.
Max Eilerson (close-up)	Crusade	08-095	7	Character	Neutral	2	4	  	  	  		Rare 1		08-095 R1	Corporate. Crusade. Explorer. Max Eilerson may sponsor enhancements as if he were a member of every race. Max Eilerson may have enhancements target him as if he were a member of every race.
